week_label,week_start,week_end,trade_days,completed_days,go_days,warn_days,stop_days,failed_days,shadow_return_compounded,paper_return_compounded,active_return_diff_compounded,shadow_return_mean,shadow_return_std,shadow_hit_rate,avg_tradable_names,avg_selected_names,avg_expected_cost_bps,avg_gross_exposure,avg_alert_count,warning_alert_days,critical_alert_days,triggered_gate_days,shadow_nav_index,paper_nav_index,completed_ratio,go_ratio,warn_ratio,stop_ratio,alert_day_ratio,gate_day_ratio,weekly_status,stop_reasons,warn_reasons,decision_note
2025-W35,2025-08-25,2025-08-29,3,3,3,0,0,0,0.0045345476225839,0.0095566123554435,-0.0050220647328595,0.0015240016965386,0.0066688159939423,0.3333333333333333,,,15.0,0.75,1.0,3,0,0,1.004534547622584,1.0095566123554436,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
2025-W36,2025-09-01,2025-09-05,4,4,4,0,0,0,-0.0052822798262934,0.0014107817159731,-0.0066930615422666,-0.0013113893063076,0.0056057889862591,0.5,,,15.0,0.75,1.0,4,0,0,0.9992283150468624,1.0109808763653945,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
2025-W37,2025-09-08,2025-09-12,5,5,5,0,0,0,-0.0186277572569805,-0.0130278061926309,-0.0055999510643495,-0.0037418369415533,0.0054091603426398,0.2,,,15.0,0.75,1.0,5,0,0,0.9806149325498678,0.9978100134436498,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,weekly_drawdown_watch; hit_rate_soft,warn rules triggered
2025-W38,2025-09-15,2025-09-19,4,4,4,0,0,0,-0.0136826045414313,0.0011584776322708,-0.0148410821737021,-0.0034333973475422,0.0036281226102374,0.25,,,15.0,0.75,1.0,4,0,0,0.9671975662203656,0.9989659540254802,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,weekly_drawdown_watch,warn rules triggered
2025-W39,2025-09-22,2025-09-26,4,4,4,0,0,0,-0.0092052542251154,-0.0235721367804659,0.0143668825553505,-0.0023053918119402,0.003222941601773,0.25,,,15.0,0.75,1.0,4,0,0,0.9582942667373942,0.9754181919181628,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
2025-W40,2025-09-29,2025-10-03,5,5,5,0,0,0,-0.0326866547074738,-0.015962121866073,-0.0167245328414008,-0.0066022957682163,0.0074410015532982,0.2,,,15.0,0.75,1.0,5,0,0,0.926970832932397,0.9598484478683804,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,weekly_drawdown_watch; hit_rate_soft,warn rules triggered
2025-W41,2025-10-06,2025-10-10,5,5,5,0,0,0,-0.0168656580306654,0.0220939363074514,-0.0389595943381169,-0.003393099040443,0.0027432368889691,0.0,,,15.0,0.75,1.0,5,0,0,0.911336859859758,0.9810552783403907,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,weekly_drawdown_watch; active_underperformance_watch; hit_rate_soft,warn rules triggered
2025-W42,2025-10-13,2025-10-17,4,4,4,0,0,0,0.0069972489465455,0.0359713890459161,-0.0289741400993706,0.0017515501423782,0.0042629051289394,0.75,,,15.0,0.75,1.0,4,0,0,0.91771371074236,1.0163451994331223,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,active_underperformance_watch,warn rules triggered
2025-W43,2025-10-20,2025-10-23,4,4,4,0,0,0,-0.0016996960525629,-0.0045213427964406,0.0028216467438777,-0.0004094295298322,0.00648632193748,0.25,,,15.0,0.75,1.0,4,0,0,0.9161538763708282,1.0117499543869686,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
2025-W44,2025-10-27,2025-10-31,5,5,5,0,0,0,-0.0065278216931734,0.015999737534363,-0.0225275592275364,-0.0013023952488242,0.0040592960494914,0.4,,,15.0,0.75,1.0,5,0,0,0.9101733872223698,1.027937688107564,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,active_underperformance_watch,warn rules triggered
2025-W45,2025-11-03,2025-11-07,4,4,4,0,0,0,-0.0022529465792278,-0.0057096054399977,0.0034566588607699,-0.0005454148164252,0.0069958155955119,0.25,,,15.0,0.75,1.0,4,0,0,0.908122815203123,1.0220685694915663,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
2025-W46,2025-11-10,2025-11-14,5,5,5,0,0,0,0.003648585723321,-0.0132767309545538,0.0169253166778748,0.0007466245906852,0.0067001208944008,0.6,,,15.0,0.75,1.0,5,0,0,0.9114361791416952,1.0084988400773212,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
2025-W47,2025-11-17,2025-11-21,5,5,5,0,0,0,-0.0104557962599048,0.0183565348617482,-0.0288123311216531,-0.0020865227122101,0.0057931204210113,0.2,,,15.0,0.75,1.0,5,0,0,0.9019063881486836,1.0270113841932331,1.0,1.0,0.0,0.0,1.0,0.0,WARN,,weekly_drawdown_watch; active_underperformance_watch; hit_rate_soft,warn rules triggered
2025-W48,2025-11-24,2025-11-28,3,3,3,0,0,0,-0.0012421314862455,-0.0080829168155491,0.0068407853293036,-0.0003788868489145,0.0102836417391075,0.6666666666666666,,,15.0,0.75,1.0,3,0,0,0.900786101826318,1.0187101366061773,1.0,1.0,0.0,0.0,1.0,0.0,GO,,,all rules passed
